score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2623664,FurMark (GL),,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,AMD Radeon RX 580 2048SP,3419,56,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623664
2623656,FurMark (GL),,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,AMD Radeon RX 580 2048SP,3514,58,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623656
2623603,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,AMD Radeon RX 580 2048SP,3552,58,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623603
2623600,FurMark (GL),,Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,Radeon RX 580 Series,3928,65,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623600
2623573,FurMark (GL),,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,Radeon RX 580 Series,3603,59,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623573
2623561,FurMark (GL),,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,Radeon RX 580 Series,3436,57,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623561
2623373,FurMark (GL),,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,AMD Radeon RX 580 2048SP,2770,45,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623373
2623375,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,AMD Radeon RX 580 2048SP,3130,52,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2623375
2623369,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,3799,63,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2623369
2623309,FurMark (GL),,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,Radeon RX 580 Series,4152,69,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2623309
2623265,FurMark (GL),,AMD Ryzen 5 2600 Six-Core Processor,Radeon RX 580 Series,3701,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623265
2623250,FurMark (GL),,AMD Ryzen 5 2600 Six-Core Processor,Radeon RX 580 Series,3692,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623250
2623183,FurMark (GL),,AMD Ryzen 5 4500 6-Core Processor,AMD Radeon RX 580 2048SP,3309,55,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2623183
2623185,FurMark (GL),,AMD Ryzen 7 2700X Eight-Core Processor,Radeon RX 580 Series,3634,60,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623185
2623159,FurMark (GL),,Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz,Radeon RX 580 Series,3797,63,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2623159
2623119,FurMark (GL),,Intel(R) Xeon(R) CPU E3-1245 V2 @ 3.40GHz,Radeon RX 580 Series,2714,45,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623119
2623085,FurMark (GL),,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,Radeon RX 580 Series,3876,64,1920x1080,60000,Windows 10 build 19043,,https://gpumagick.com/scores/2623085
2623069,FurMark (GL),,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,AMD Radeon RX 580 2048SP,3319,55,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623069
2623057,FurMark (GL),,AMD Ryzen 5 5600 6-Core Processor,AMD Radeon RX 580 2048SP,2724,45,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623057
2623056,FurMark (GL),,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,AMD Radeon RX 580 2048SP,3153,52,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623056
2623038,FurMark (GL),,AMD Ryzen 7 3700X 8-Core Processor,Radeon RX 580 Series,3732,61,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2623038
2622948,FurMark (GL),,AMD Ryzen 7 5700X 8-Core Processor,AMD Radeon RX 580 2048SP,3038,50,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2622948
