score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2625438,FurMark (GL),,Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,Radeon RX 580 Series,4007,66,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2625438
2625368,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 580 Series,4546,75,1920x1080,60000,Windows 10 build 18363,,https://gpumagick.com/scores/2625368
2625133,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,3646,60,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2625133
2624513,FurMark (GL),,AMD Ryzen 5 4500 6-Core Processor,AMD Radeon RX 580 2048SP,3230,53,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2624513
2624313,FurMark (GL),,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,AMD Radeon RX 580 2048SP,3486,57,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2624313
2624298,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,AMD Radeon RX 580 2048SP,2338,38,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2624298
2624128,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,AMD Radeon RX 580 2048SP,2286,38,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2624128
2623818,FurMark (GL),,AMD Ryzen 3 3200G with Radeon Vega Graphics,AMD Radeon RX 580 2048SP,3306,54,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2623818
2623768,FurMark (GL),,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,Radeon RX 580 Series,3704,61,1920x1080,60000,Windows 11 build 22635,,https://gpumagick.com/scores/2623768
2623663,FurMark (GL),,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,AMD Radeon RX 580 2048SP,3718,61,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2623663
2623603,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,AMD Radeon RX 580 2048SP,3552,58,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623603
2623573,FurMark (GL),,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,Radeon RX 580 Series,3603,59,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623573
2623373,FurMark (GL),,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,AMD Radeon RX 580 2048SP,2770,45,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2623373
2623183,FurMark (GL),,AMD Ryzen 5 4500 6-Core Processor,AMD Radeon RX 580 2048SP,3309,55,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2623183
2623038,FurMark (GL),,AMD Ryzen 7 3700X 8-Core Processor,Radeon RX 580 Series,3732,61,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2623038
2622948,FurMark (GL),,AMD Ryzen 7 5700X 8-Core Processor,AMD Radeon RX 580 2048SP,3038,50,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2622948
2622898,FurMark (GL),,Intel(R) Core(TM) i5-2310 CPU @ 2.90GHz,AMD Radeon RX 580 2048SP,2930,48,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2622898
2622683,FurMark (GL),,AMD FX(tm)-6300 Six-Core Processor,AMD Radeon RX 580 2048SP,916,15,3840x2160,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2622683
2622168,FurMark (GL),,12th Gen Intel(R) Core(TM) i5-12400F,AMD Radeon RX 580 2048SP,2394,39,2560x1440,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2622168
2622068,FurMark (GL),,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,Radeon RX 580 Series,3782,62,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2622068
2621638,FurMark (GL),,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,AMD Radeon RX 580 2048SP,3412,56,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2621638
2621193,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2696 v4 @ 2.20GHz,AMD Radeon RX 580 2048SP,3092,51,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2621193
2621083,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,AMD Radeon RX 580 2048SP,3431,56,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2621083
2620808,FurMark (GL),,AMD Ryzen 5 3500X 6-Core Processor,AMD Radeon RX 580 2048SP,2912,48,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2620808
2620383,FurMark (GL),,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,AMD Radeon RX 580 2048SP,3816,63,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2620383
2620158,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,Radeon RX 580 Series,3803,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2620158
2620108,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,AMD Radeon RX 580 2048SP,2983,49,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2620108
2619748,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,AMD Radeon RX 580 2048SP,3470,57,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2619748
2619518,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 580 Series,3779,63,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2619518
2619128,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,1451,24,3840x2160,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2619128
2618768,FurMark (GL),,12th Gen Intel(R) Core(TM) i3-12100F,Radeon RX 580 Series,3777,62,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2618768
2618658,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,AMD Radeon RX 580 2048SP,3462,57,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2618658
2618443,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,AMD Radeon RX 580 2048SP,1793,29,2560x1440,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2618443
2618048,FurMark (GL),,12th Gen Intel(R) Core(TM) i3-12100,Radeon RX 580 Series,2255,39,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2618048
2617738,FurMark (GL),,AMD Ryzen 5 5600GT with Radeon Graphics,AMD Radeon RX 580 2048SP,1984,33,2560x1440,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2617738
2617568,FurMark (GL),,Intel(R) Xeon(R) CPU E3-1275 V2 @ 3.50GHz,AMD Radeon RX 580 2048SP,2829,46,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2617568
2617513,FurMark (GL),,Intel(R) Core(TM) i3-10100F CPU @ 3.60GHz,AMD Radeon RX 580 2048SP (radeonsi polaris10 ACO DRM 3.64 7.0.0-15-generic),1527,25,2560x1440,60000,Linux 7.0.0-15-generic 64-bit,,https://gpumagick.com/scores/2617513
2617538,FurMark (GL),,Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz,Radeon RX 580 Series,3607,59,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2617538
2617473,FurMark (GL),,12th Gen Intel(R) Core(TM) i5-12400,Radeon RX 580 Series,4106,68,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2617473
2616868,FurMark (GL),,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,AMD Radeon RX 580 2048SP,3445,57,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2616868
2616633,FurMark (GL),,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,AMD Radeon RX 580 2048SP,3360,56,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2616633
2616598,FurMark (GL),,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,AMD Radeon RX 580 2048SP,2531,42,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2616598
2616248,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,AMD Radeon RX 580 2048SP,3494,55,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2616248
2615153,FurMark (GL),,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,Radeon RX 580 Series,4503,74,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2615153
2615068,FurMark (GL),,Intel(R) Core(TM) i3-10105F CPU @ 3.70GHz,AMD Radeon RX 580 2048SP,3551,58,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2615068
2614678,FurMark (GL),,AMD FX(tm)-8320 Eight-Core Processor,Radeon RX 580 Series,3545,57,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2614678
2614643,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,AMD Radeon RX 580 2048SP,2369,39,2560x1440,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2614643
2614573,FurMark (GL),,Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz,Radeon RX 580 Series,3566,59,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2614573
2613868,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz,Radeon RX 580 Series,3540,58,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2613868
2613443,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,AMD Radeon RX 580 2048SP,3482,57,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2613443
2613418,FurMark (GL),,Intel(R) Core(TM) i5-3550S CPU @ 3.00GHz,Radeon RX 580 Series,3840,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2613418
2613268,FurMark (GL),,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,Radeon RX 580 Series,3874,64,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2613268
2613153,FurMark (GL),,Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz,Radeon RX 580 Series,4047,67,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2613153
2612793,FurMark (GL),,AMD Ryzen 5 5600GT with Radeon Graphics,AMD Radeon RX 580 2048SP,3327,55,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2612793
2612678,FurMark (GL),,AMD Ryzen 5 2400G with Radeon Vega Graphics,AMD Radeon RX 580 2048SP,2333,40,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2612678
2612688,FurMark (GL),,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,AMD Radeon RX 580 2048SP,3771,62,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2612688
2612388,FurMark (GL),,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,AMD Radeon RX 580 2048SP,3331,55,1920x1080,60000,Windows 10 build 17763,,https://gpumagick.com/scores/2612388
2612198,FurMark (GL),,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,Radeon RX 580 Series,3266,54,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2612198
2612133,FurMark (GL),,12th Gen Intel(R) Core(TM) i5-12400F,AMD Radeon RX 580 2048SP,3476,57,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2612133
2611013,FurMark (GL),,Intel(R) Core(TM) i5-3570S CPU @ 3.10GHz,Radeon RX 580 Series,3728,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2611013
2610953,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2697 v3 @ 2.60GHz,AMD Radeon RX 580 2048SP,3560,59,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2610953
2610058,FurMark (GL),,Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz,Radeon RX 580 Series,3964,65,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2610058
2609688,FurMark (GL),,AMD Ryzen 5 3500 6-Core Processor,Radeon RX 580 Series,3669,60,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2609688
2609448,FurMark (GL),,Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,Radeon RX 580 Series,3915,65,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2609448
2609408,FurMark (GL),,Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,Radeon RX 580 Series,3976,66,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2609408
2609118,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,Radeon RX 580 Series,3915,65,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2609118
